time,ControlsOut.TS_current,CellVoltages.MinVoltage
0.003,0.22100002,
0.007,0.22600001,
0.011,0.21300001,
0.015,0.224,
0.019,0.224,
0.023,0.22600001,
0.028,0.22500001,
0.032,0.23300001,
0.036,0.23300001,
0.041,0.22900002,
0.043,0.22600001,
0.047,0.21400002,
0.052,0.23200001,
0.055,0.23500001,
0.059,0.216,
0.063,0.223,
0.067,0.22600001,
0.071,0.23700002,
0.075,0.22700001,
0.079,0.22200002,
0.084,0.22700001,
0.087,0.22700001,
0.092,0.23400001,
0.095,0.22900002,
0.101,0.215,
0.103,0.22600001,
0.107,0.22600001,
0.111,0.224,
0.117,0.22500001,
0.119,0.224,
0.123,0.224,
0.127,0.22100002,
0.133,0.22800002,
0.135,0.22700001,
0.139,0.23200001,
0.143,0.22900002,
0.148,0.22900002,
0.151,0.224,
0.155,0.22700001,
0.159,0.22900002,
0.165,0.23200001,
0.167,0.23600002,
0.171,0.23600002,
0.1718,,3.7922
0.176,0.23600002,
0.18,0.238,
0.183,0.23200001,
0.187,0.23200001,
0.192,0.224,
0.196,0.22200002,
0.199,0.22700001,
0.203,0.21900001,
0.207,0.21100001,
0.211,0.22700001,
0.215,0.223,
0.219,0.23200001,
0.223,0.231,
0.228,0.231,
0.231,0.23300001,
0.235,0.24000001,
0.239,0.22000001,
0.243,0.23200001,
0.247,0.22200002,
0.251,0.22200002,
0.255,0.22600001,
0.259,0.22600001,
0.2622,0.22600001,
0.2662,0.22600001,
0.2702,0.22600001,
0.2752,0.22600001,
0.2782,0.22000001,
0.2822,0.22000001,
0.2862,0.22200002,
0.2912,0.22200002,
0.2942,0.22100002,
0.2982,0.22500001,
0.3022,0.22600001,
0.3062,0.22200002,
0.3102,0.231,
0.3142,0.22500001,
0.3182,0.23300001,
0.3222,0.223,
0.3262,0.223,
0.3302,0.22000001,
0.3342,0.22900002,
0.3382,0.22600001,
0.3422,0.22900002,
0.3462,0.22900002,
0.3502,0.22200002,
0.3542,0.22600001,
0.3582,0.23200001,
0.3622,0.22500001,
0.3662,0.21900001,
0.3702,0.21900001,
0.3731,,3.7924
0.3742,0.21900001,
0.3792,0.22800002,
0.3822,0.22800002,
0.3862,0.223,
0.3912,0.223,
0.3942,0.23,
0.3982,0.22800002,
0.4022,0.23700002,
0.4062,0.23400001,
0.4102,0.23400001,
0.4142,0.23200001,
0.4182,0.231,
0.4222,0.21900001,
0.4262,0.22900002,
0.4312,0.22200002,
0.4342,0.22200002,
0.4402,0.231,
0.4422,0.223,
0.4462,0.22000001,
0.4502,0.22700001,
0.4542,0.23600002,
0.4582,0.22900002,
0.4622,0.25100002,
0.4662,0.23600002,
0.4702,0.23400001,
0.4742,0.23600002,
0.4782,0.23400001,
0.4822,0.23,
0.4862,0.22700001,
0.4912,0.22600001,
0.4942,0.22600001,
0.4982,0.22200002,
0.5022,0.22800002,
0.5072,0.23,
0.5102,0.224,
0.5142,0.238,
0.5182,0.23200001,
0.5222,0.22700001,
0.5262,0.23,
0.5312,0.22500001,
0.5342,0.224,
0.5382,0.21900001,
0.5422,0.21900001,
0.5462,0.21900001,
0.5502,0.22900002,
0.5542,0.23500001,
0.5582,0.224,
0.5622,0.223,
0.5662,0.22600001,
0.5702,0.22600001,
0.5713,,3.7923
0.5742,0.22600001,
0.5782,0.224,
0.5822,0.21800001,
0.5862,0.223,
0.5912,0.23400001,
0.5952,0.23200001,
