time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.0027,,,,3.9722998,,,0.001,,,,
0.0027,3.9722998,3.9722974,,,3.9723668,0.0,,0.001,0.42400002,-4.706401e-13,0.8670512
0.0067,3.9722998,3.9722993,,,3.9723668,0.0,,-0.010000001,0.46600002,4.7019606e-12,0.8670512
0.0067,,,,3.9722998,,,-0.010000001,,,,
0.0117,,,,3.9722998,,,-0.008,,,,
0.0117,3.9722998,3.9723005,,,3.9723668,0.0,,-0.008,0.38200003,8.094121e-12,0.8670512
0.0147,,,,3.9722998,,,-0.003,,,,
0.0147,3.9722998,3.9723003,,,3.9723668,0.0,,-0.003,0.33900002,9.222991e-12,0.8670512
0.0187,,,,3.9722998,,,0.0050000004,,,,
0.0187,3.9722998,3.9722986,,,3.9723668,0.0,,0.0050000004,0.254,7.813292e-12,0.8670512
0.0227,3.9722998,3.9722977,,,3.9723668,0.0,,0.003,0.29700002,6.824281e-12,0.8670512
0.0227,,,,3.9722998,,,0.003,,,,
0.0267,3.9722998,3.9722962,,,3.9723668,0.0,,0.0050000004,0.29700002,5.175931e-12,0.8670512
0.0267,,,,3.9722998,,,0.0050000004,,,,
0.0307,,,,3.9722998,,,0.004,,,,
0.0307,3.9722998,3.9722953,,,3.9723668,0.0,,0.004,0.76400006,1.7837704e-12,0.8670512
0.0347,3.9722998,3.9722955,,,3.9723668,0.0,,-0.0,0.46600002,1.7837704e-12,0.8670512
0.0347,,,,3.9722998,,,-0.0,,,,
0.0387,3.9722998,3.9722943,,,3.9723668,0.0,,0.006,0.63600004,-2.4519898e-12,0.8670512
0.0387,,,,3.9722998,,,0.006,,,,
0.0417,3.9722998,3.9722962,,,3.9723668,0.0,,-0.008,0.33900002,5.583304e-13,0.8670512
0.0427,,,,3.9722998,,,-0.008,,,,
0.0467,3.9722998,3.972298,,,3.9723668,0.0,,-0.008,0.551,5.4512102e-12,0.8670512
0.0494,,,,3.9722998,,,-0.008,,,,
0.0534,3.9722998,3.9722981,,,3.9723668,0.0,,-0.003,0.127,5.87412e-12,0.8670512
0.0534,,,,3.9722998,,,-0.003,,,,
0.0574,3.9722998,3.9722977,,,3.9723668,0.0,,0.001,0.29700002,5.54445e-12,0.8670512
0.0574,,,,3.9722998,,,0.001,,,,
0.0614,3.9722998,3.9722974,,,3.9723668,0.0,,-0.0,0.42400002,5.54445e-12,0.8670512
0.0614,,,,3.9722998,,,-0.0,,,,
0.0654,3.9722998,3.972297,,,3.9723668,0.0,,0.001,0.509,4.97946e-12,0.8670512
0.0664,,,,3.9722998,,,0.001,,,,
0.0694,3.9722998,3.9722962,,,3.9723668,0.0,,0.003,0.33900002,3.85059e-12,0.8670512
0.0694,,,,3.9722998,,,0.003,,,,
0.0724,,,,3.9722998,,,0.003,,,,
0.0724,3.9722998,3.9722955,,,3.9723668,0.0,,0.003,0.46600002,2.2988102e-12,0.8670512
0.0774,,,,3.9722998,,,0.003,,,,
0.0774,3.9722998,3.972295,,,3.9723668,0.0,,0.003,0.46600002,7.4703015e-13,0.8670512
0.0824,,,,3.9722998,,,0.003,,,,
0.0824,3.9722998,3.9722946,,,3.9723668,0.0,,0.003,0.46600002,-8.0474993e-13,0.8670512
0.0854,,,,3.9722998,,,0.003,,,,
0.0854,3.9722998,3.9722943,,,3.9723668,0.0,,0.003,0.46600002,-2.3565301e-12,0.8670512
0.0894,3.9722998,3.972294,,,3.9723668,0.0,,0.003,0.509,-4.0515e-12,0.8670512
0.0894,,,,3.9722998,,,0.003,,,,
0.0934,3.9722998,3.9722955,,,3.9723668,0.0,,-0.0050000004,0.33900002,-2.1700497e-12,0.8670512
0.0934,,,,3.9722998,,,-0.0050000004,,,,
