time,CellVoltages.MinVoltage,ControlsOut.TS_current
0.0,,0.003
0.004,,-0.0
0.009,,-0.0
0.012,,0.001
0.016,,0.003
0.021,,0.0050000004
0.024,,0.008
0.029,,-0.0
0.033,,0.009000001
0.036,,0.010000001
0.041,,-0.0050000004
0.045,,0.006
0.049,,0.006
0.052,,0.011000001
0.056,,-0.0
0.06,,-0.0
0.064,,0.004
0.069,,0.011000001
0.073,,0.011000001
0.076,,-0.001
0.081,,0.009000001
0.086,,0.0050000004
0.089,,-0.001
0.092,,-0.0
0.097,,0.008
0.101,,0.008
0.104,,-0.0
0.108,,0.0050000004
0.113,,0.0050000004
0.117,,0.002
0.12,,0.006
0.124,,0.001
0.129,,0.001
0.132,,0.001
0.1354,3.9266,
0.136,,-0.003
0.141,,-0.003
0.145,,0.003
0.149,,-0.0
0.153,,0.009000001
0.156,,-0.001
0.161,,-0.001
0.164,,-0.0
0.169,,0.0050000004
0.172,,0.0050000004
0.176,,0.001
0.18,,0.0050000004
0.184,,0.006
0.188,,-0.002
0.192,,-0.002
0.198,,-0.0050000004
0.2,,0.011000001
0.204,,0.003
0.208,,0.010000001
0.213,,-0.008
0.216,,0.007
0.22,,0.013
0.224,,0.003
0.228,,0.006
0.233,,0.0050000004
0.236,,0.008
0.24,,0.008
0.245,,0.006
0.248,,0.010000001
0.252,,-0.0
0.256,,0.006
0.26,,0.013
0.264,,0.008
0.268,,0.011000001
0.272,,0.001
0.276,,0.008
0.28,,0.006
0.284,,-0.001
0.288,,0.001
0.293,,-0.002
0.296,,-0.002
0.3,,0.003
0.304,,-0.003
0.308,,0.006
0.312,,0.006
0.317,,-0.0
0.32,,0.003
0.324,,0.003
0.329,,0.004
0.332,,0.010000001
0.3354,3.9265,
0.336,,0.010000001
0.34,,0.010000001
0.345,,0.006
0.348,,-0.001
0.352,,0.016
0.357,,-0.003
0.36,,0.001
0.364,,0.004
0.368,,0.015000001
0.372,,0.007
0.376,,0.012
0.38,,0.0050000004
0.384,,0.007
0.389,,0.007
0.392,,0.004
0.396,,0.004
0.401,,0.002
0.404,,0.001
0.409,,0.007
0.413,,-0.008
0.416,,-0.001
0.4176,,-0.008
0.4216,,-0.002
0.4266,,-0.002
0.4296,,0.004
0.4346,,-0.006
0.4386,,0.008
0.4426,,0.011000001
0.4466,,0.004
0.4506,,-0.0050000004
0.4536,,-0.003
0.4586,,0.010000001
0.4616,,0.18800001
0.4656,,0.24800001
0.4706,,0.24800001
0.4736,,0.257
0.4776,,0.25
0.4816,,0.24200001
0.4866,,0.23700002
0.4916,,0.23900001
0.4936,,0.23600002
0.4986,,0.231
0.5016,,0.23500001
0.5056,,0.23500001
0.5096,,0.23500001
0.5136,,0.22900002
0.5186,,0.21300001
0.5216,,0.20500001
0.5256,,0.20400001
0.5296,,0.21300001
0.5336,,0.21300001
0.5369,3.9265,
0.5376,,0.21300001
0.5426,,0.20300001
0.5456,,0.2
0.5496,,0.202
0.5536,,0.18900001
0.5576,,0.18800001
0.5616,,0.18300001
0.5656,,0.18400002
0.5696,,0.18400002
0.5736,,0.18100001
0.5786,,0.19000001
0.5816,,0.18300001
0.5856,,0.17400001
0.5896,,0.17600001
0.5946,,0.17400001
0.5976,,0.17600001
0.6016,,0.163
0.6056,,0.162
0.6096,,0.16800001
0.6136,,0.17
0.6176,,0.155
0.6216,,0.16600001
0.6256,,0.16100001
0.6296,,0.155
0.6336,,0.15400001
0.6376,,0.15100001
0.6426,,0.155
0.6456,,0.148
0.6496,,0.128
0.6536,,0.128
0.6576,,0.14500001
0.6616,,0.14500001
0.6656,,0.13100001
0.6696,,0.13900001
0.6736,,0.128
0.6776,,0.14400001
0.6816,,0.132
0.6856,,0.13700001
0.6916,,0.119
0.6936,,0.12200001
0.6976,,0.126
0.7016,,0.128
0.7056,,0.128
0.7096,,0.128
0.7146,,0.127
0.7176,,0.12200001
0.7216,,0.125
0.7256,,0.11800001
0.7296,,0.11800001
0.7336,,0.11800001
0.7353,3.9263,
0.7376,,0.11800001
0.7426,,0.116000004
0.7456,,0.116000004
0.7496,,0.11400001
0.7536,,0.11400001
0.7586,,0.109000005
0.7616,,0.101
0.7656,,0.102000006
0.7706,,0.10300001
0.7736,,0.102000006
0.7776,,0.109000005
0.7816,,0.09900001
0.7856,,0.104
0.7896,,0.104
0.7936,,0.093
0.7986,,0.097
0.8016,,0.09
0.8066,,0.102000006
0.8106,,0.091000006
0.8136,,0.09200001
0.8176,,0.094000004
0.8216,,0.098000005
0.8256,,0.081
0.8296,,0.083000004
0.8336,,0.085
0.8376,,0.094000004
0.8436,,0.094000004
0.8466,,0.085
0.8496,,0.07700001
0.8536,,0.078
0.8576,,0.080000006
0.8616,,0.079
0.8656,,0.079
0.8696,,0.067
0.8736,,0.075
0.8786,,0.075
0.8816,,0.080000006
0.8856,,0.059000004
0.8916,,0.068
0.8936,,0.080000006
0.8976,,0.066
0.9016,,0.07700001
0.9056,,0.07700001
0.9096,,0.07700001
0.9146,,0.069000006
0.9176,,0.063
0.9216,,0.063
0.9266,,0.071
0.9306,,0.066
0.9336,,0.066
0.9364,3.9265,
0.9376,,0.066
0.9426,,0.07300001
0.9456,,0.065000005
0.9506,,0.065000005
0.9536,,0.053000003
0.9576,,0.061000004
0.9616,,0.057000004
0.9666,,0.065000005
0.9696,,0.058000002
0.9736,,0.058000002
0.9786,,0.064
0.9816,,0.062000003
0.9866,,0.048
0.9906,,0.068
0.9946,,0.058000002
0.9976,,0.053000003
1.0016,,0.061000004
1.0066,,0.061000004
1.0106,,0.052
1.0136,,0.05
1.0176,,0.05
1.0216,,0.053000003
1.0266,,0.053000003
1.0306,,0.047000002
1.0336,,0.059000004
1.0386,,0.056
1.0426,,0.056
1.0466,,0.039
1.0506,,0.063
1.0536,,0.045
1.0586,,0.054
1.0616,,0.046000004
1.0656,,0.051000003
1.0696,,0.047000002
1.0736,,0.041
1.0776,,0.046000004
1.0816,,0.053000003
1.0866,,0.046000004
1.0896,,0.032
1.0946,,0.045
1.0986,,0.038000003
1.1016,,0.044000003
1.1056,,0.044000003
1.1106,,0.044000003
1.1136,,0.044000003
1.1186,,0.046000004
1.1216,,0.052
1.1256,,0.052
1.1296,,0.044000003
1.1336,,0.036000002
1.1352,3.9265,
1.1376,,0.036000002
1.1426,,0.029000001
1.1456,,0.036000002
1.1496,,0.039
1.1536,,0.034
1.1576,,0.043
1.1616,,0.043
1.1656,,0.038000003
1.1696,,0.031000001
1.1736,,0.033
1.1776,,0.041
1.1816,,0.043
1.1856,,0.040000003
1.1896,,0.030000001
1.1936,,0.034
1.1976,,0.033
1.2016,,0.031000001
1.2056,,0.029000001
1.2096,,0.039
1.2136,,0.040000003
1.2176,,0.035
1.2216,,0.043
1.2266,,0.041
1.2306,,0.025
1.2336,,0.031000001
1.2376,,0.038000003
1.2426,,0.030000001
1.2456,,0.025
1.2496,,0.026
1.2536,,0.027
1.2576,,0.037
1.2616,,0.037
1.2666,,0.025
1.2696,,0.032
1.2736,,0.041
1.2786,,0.042000003
1.2816,,0.027
1.2866,,0.030000001
1.2906,,0.042000003
1.2936,,0.017
1.2986,,0.021000002
1.3016,,0.035
1.3056,,0.035
1.3096,,0.035
1.3146,,0.032
1.3176,,0.031000001
1.3216,,0.030000001
1.3266,,0.027
1.3296,,0.032
1.3336,,0.032
1.3376,,0.032
1.339,3.9265,
1.3426,,0.0050000004
1.3466,,0.022000002
1.3496,,0.022000002
1.3536,,0.016
1.3586,,0.014
1.3616,,0.017
1.3656,,0.011000001
1.3706,,0.017
1.3736,,0.017
1.3776,,0.004
1.3816,,0.010000001
1.3856,,0.024
1.3896,,0.007
1.3946,,0.015000001
1.3986,,0.019000001
1.4016,,0.021000002
1.4066,,0.021000002
1.4106,,0.011000001
1.4136,,0.002
1.4186,,0.004
1.4216,,0.019000001
1.4289,,0.023000002
1.4329,,0.006
1.4369,,0.013
1.4419,,0.013
1.4469,,0.026
1.4499,,0.015000001
1.4529,,0.008
1.4569,,0.008
1.4619,,0.0050000004
1.4649,,0.014
1.4699,,0.014
1.4739,,0.015000001
1.4769,,0.010000001
1.4819,,0.017
1.4849,,0.017
1.4889,,0.022000002
1.4929,,0.018000001
1.4969,,0.015000001
1.5019,,0.009000001
1.5049,,0.016
1.5089,,0.016
1.5139,,0.016
1.5179,,0.008
1.5219,,0.017
1.5249,,0.016
1.5299,,0.020000001
1.5339,,0.017
1.5354,3.9265,
1.5369,,0.010000001
1.5419,,0.010000001
1.5459,,0.018000001
1.5499,,0.022000002
1.5539,,0.022000002
1.5569,,0.016
1.5619,,0.018000001
1.5649,,0.020000001
1.5699,,0.020000001
1.5729,,0.017
1.5769,,0.018000001
1.5819,,0.014
1.5849,,0.021000002
1.5889,,0.023000002
1.5949,,0.013
1.5969,,0.013
1.6009,,0.011000001
1.6049,,0.015000001
1.6089,,0.013
1.6129,,0.018000001
1.6169,,0.017
1.6219,,0.021000002
1.6249,,0.015000001
1.6299,,0.011000001
1.6339,,0.011000001
1.6369,,0.013
1.6419,,0.018000001
1.6459,,0.014
1.6489,,0.012
1.6529,,0.010000001
1.6569,,0.020000001
1.6619,,0.001
1.6649,,0.020000001
1.6689,,0.016
1.6739,,0.010000001
1.6769,,0.010000001
1.6809,,0.020000001
1.6849,,0.011000001
1.6889,,0.018000001
1.6949,,0.020000001
1.6969,,-0.001
1.7019,,0.015000001
1.7049,,0.027
1.7089,,0.027
1.7129,,0.027
1.7179,,0.013
1.7209,,0.015000001
1.7249,,0.023000002
1.7289,,0.022000002
1.7339,,0.019000001
1.7352,3.9268,
1.7369,,0.019000001
1.7419,,0.019000001
1.7459,,0.012
1.7499,,0.018000001
1.7539,,0.015000001
1.7569,,0.007
1.7609,,0.022000002
1.7649,,0.011000001
1.7689,,0.020000001
1.7729,,0.013
1.7769,,0.015000001
1.7809,,0.008
1.7849,,0.016
1.7899,,0.016
1.7929,,0.022000002
1.7979,,0.022000002
1.8009,,0.011000001
1.8049,,0.023000002
1.8089,,0.029000001
1.8129,,0.029000001
1.8169,,0.013
1.8209,,0.014
1.8249,,0.015000001
1.8299,,0.013
1.8329,,0.013
1.8369,,0.022000002
1.8409,,0.020000001
1.8459,,0.017
1.8499,,0.023000002
1.8529,,0.018000001
1.8569,,0.014
1.8619,,0.020000001
1.8659,,0.021000002
1.8699,,0.020000001
1.8729,,0.010000001
1.8769,,0.016
1.8819,,0.018000001
1.8849,,0.018000001
1.8899,,0.006
1.8949,,0.015000001
1.8969,,0.020000001
1.9019,,0.015000001
1.9049,,0.020000001
1.9089,,0.020000001
1.9129,,0.020000001
1.9179,,0.020000001
1.9209,,0.014
1.9249,,0.014
1.9299,,0.029000001
1.9339,,0.012
1.9354,3.9269,
1.9369,,0.018000001
1.9419,,0.018000001
1.9459,,0.012
1.9499,,0.018000001
1.9529,,0.025
1.9569,,0.015000001
1.9619,,0.015000001
1.9649,,0.021000002
1.9699,,0.021000002
1.9739,,0.023000002
1.9769,,0.024
1.9809,,0.018000001
1.9849,,0.027
1.9889,,0.027
1.9939,,0.018000001
1.9969,,0.023000002
2.0009,,0.017
2.0049,,0.013
2.0089,,0.015000001
2.0129,,0.009000001
2.0169,,0.008
2.0209,,0.008
2.0249,,0.018000001
2.0299,,0.021000002
2.0339,,0.016
2.0369,,0.009000001
2.0419,,0.017
2.0459,,0.018000001
2.0489,,0.032
2.0529,,0.021000002
2.0569,,0.011000001
2.0609,,0.016
2.0649,,0.016
2.0699,,0.030000001
2.0739,,0.0050000004
2.0769,,0.032
2.0809,,0.032
2.0849,,0.025
2.0899,,0.017
2.0929,,0.022000002
2.0969,,0.008
2.1009,,0.017
2.1049,,0.009000001
2.1089,,0.009000001
2.1129,,0.009000001
2.1179,,0.020000001
2.1219,,0.018000001
2.1249,,0.008
2.1289,,0.006
2.1329,,0.010000001
2.1355,3.9265,
2.1369,,0.036000002
2.1409,,0.036000002
2.1459,,0.015000001
2.1499,,0.018000001
2.1539,,0.023000002
2.1569,,0.020000001
2.1609,,0.018000001
2.1659,,0.011000001
2.1689,,0.018000001
2.1729,,0.013
2.1769,,0.023000002
2.1809,,0.023000002
2.1849,,0.009000001
2.1899,,0.024
2.1939,,0.017
2.1979,,0.018000001
2.2009,,0.023000002
2.2049,,0.014
2.2089,,0.016
2.2129,,0.015000001
2.2169,,0.027
2.2209,,0.023000002
2.2249,,0.023000002
2.2299,,0.020000001
2.2339,,0.008
2.2369,,0.009000001
2.2409,,0.018000001
2.2459,,0.012
2.2489,,0.018000001
2.2529,,0.018000001
2.2569,,0.018000001
2.2609,,0.032
2.2649,,0.021000002
2.2699,,0.022000002
2.2739,,0.013
2.2769,,0.008
2.2809,,0.016
2.2849,,0.011000001
2.2889,,0.018000001
2.2929,,0.022000002
2.2969,,0.018000001
2.3009,,0.018000001
2.3049,,0.025
2.3099,,0.020000001
2.3129,,0.020000001
2.3179,,0.017
2.3209,,0.019000001
2.3249,,0.021000002
2.3289,,0.031000001
2.3329,,0.006
2.3354,3.9267,
2.3369,,0.006
2.3419,,0.006
2.3459,,0.021000002
2.3499,,0.021000002
2.3529,,0.022000002
2.3569,,0.011000001
2.3619,,0.011000001
2.3649,,0.026
2.3699,,0.011000001
2.3739,,0.017
2.3769,,0.008
2.3809,,0.014
2.3849,,0.021000002
2.3889,,0.023000002
2.3939,,0.023000002
2.3969,,0.008
2.4009,,0.028
2.4049,,0.019000001
2.4062,,0.020000001
2.4112,,0.022000002
2.4142,,0.022000002
2.4182,,0.015000001
2.4222,,0.015000001
2.4262,,0.011000001
2.4312,,0.020000001
2.4342,,0.023000002
2.4382,,0.016
2.4432,,0.003
2.4472,,0.014
2.4512,,0.023000002
2.4542,,0.027
2.4582,,0.022000002
2.4622,,0.018000001
