time,CellVoltages.MinVoltage,ControlsOut.TS_current
0.0,,0.22700001
0.003,,0.231
0.007,,0.231
0.011,,0.21900001
0.015,,0.224
0.0221,,0.22500001
0.0251,,0.24300002
0.0291,,0.231
0.0331,,0.22500001
0.0391,,0.22000001
0.0421,,0.23200001
0.0451,,0.22700001
0.0491,,0.22700001
0.0531,,0.24300002
0.0571,,0.22700001
0.0611,,0.22500001
0.0651,,0.23200001
0.0691,,0.22000001
0.0731,,0.24000001
0.0771,,0.24000001
0.0811,,0.224
0.0851,,0.224
0.0891,,0.224
0.0931,,0.22100002
0.0971,,0.22100002
0.1021,,0.22700001
0.1051,,0.22600001
0.1091,,0.22800002
0.1104,3.8571,
0.1131,,0.22600001
0.1181,,0.22600001
0.1211,,0.23200001
0.1251,,0.23600002
0.1291,,0.22700001
0.1331,,0.231
0.1381,,0.22200002
0.1411,,0.22900002
0.1451,,0.22700001
0.1491,,0.23500001
0.1531,,0.238
0.1571,,0.238
0.1621,,0.238
0.1651,,0.22700001
0.1691,,0.23200001
0.1731,,0.238
0.1771,,0.23600002
0.1821,,0.22900002
0.1871,,0.23900001
0.1891,,0.22900002
0.1931,,0.23200001
0.1971,,0.22800002
0.2011,,0.238
0.2051,,0.23300001
0.2091,,0.23300001
0.2141,,0.231
0.2171,,0.22600001
0.2211,,0.231
0.2251,,0.22900002
0.2291,,0.231
0.2331,,0.22900002
0.2381,,0.22900002
0.2411,,0.22600001
0.2451,,0.21700001
0.2491,,0.21900001
0.2531,,0.224
0.2571,,0.22700001
0.2621,,0.22600001
0.2651,,0.24300002
0.2691,,0.22500001
0.2741,,0.22600001
0.2771,,0.238
0.2811,,0.23
0.2851,,0.23
0.2891,,0.23
0.2931,,0.23
0.2971,,0.24000001
0.3021,,0.22600001
0.3051,,0.23200001
0.3091,,0.22800002
0.3125,3.8571,
0.3131,,0.22800002
0.3181,,0.22800002
0.3221,,0.22600001
0.3251,,0.23200001
0.3291,,0.22900002
0.3331,,0.224
0.3381,,0.224
0.3421,,0.22200002
0.3461,,0.21700001
0.3491,,0.22700001
0.3531,,0.22100002
0.3571,,0.224
0.3621,,0.22800002
0.3651,,0.231
0.3691,,0.23300001
0.3731,,0.23500001
0.3771,,0.22700001
0.3811,,0.23400001
0.3851,,0.22700001
0.3901,,0.224
0.3931,,0.22100002
0.3971,,0.22100002
0.4011,,0.23300001
0.4081,,0.23
0.4091,,0.224
0.4141,,0.23400001
0.4171,,0.22800002
0.4221,,0.23300001
0.4251,,0.22900002
0.4291,,0.22700001
0.4341,,0.22700001
0.4381,,0.23300001
0.4421,,0.23200001
0.4461,,0.22600001
0.4491,,0.22600001
0.4531,,0.231
0.4571,,0.22200002
0.4621,,0.22600001
0.4651,,0.231
0.4691,,0.23600002
0.4731,,0.23300001
0.4771,,0.23400001
0.4811,,0.23600002
0.4851,,0.23600002
0.4891,,0.23600002
0.4931,,0.23700002
0.4971,,0.22900002
0.5021,,0.23400001
0.5051,,0.238
0.5091,,0.23400001
